Name,Power,W/m2,Diameter,hub height [m],Noise @ 3m/s [dB],Noise @ 4m/s [dB],Noise @ 5m/s [dB],Noise @ 6m/s [dB],Noise @ 7m/s [dB],Noise @ 8m/s [dB],Noise @ 9m/s [dB],Noise @ 10m/s [dB],Noise @ 11m/s [dB],Noise @ 12m/s [dB],Valid,Company,Variant,Sec. power,Def. hub height,Edit date
,,,,,wind speed at 10m,,,,,,,,,,,,,,,
,,,,,3,4,5,6,7,8,9,10,11,12,,,,,,
eno eno152-5.6 5600 152.0 !O!,5 600,308.6,152,,,,,,,,,,,,Yes,eno,eno152-5.6,,104,24.02.2021
NORDEX N117/3600 3600 116.8 !O!,3600,336,116.8,91,94,96,101.5,104.5,105,105,105,105,105,105,Yes,NORDEX,N117/3600,,91,25.04.2018
NORDEX N117/3600 3600 116.8 !O!,3600,336,116.8,106,94,96.4,101.9,104.5,105,105,105,105,105,105,Yes,NORDEX,N117/3600,,91,25.04.2018
NORDEX N117/3600 3600 116.8 !O!,3600,336,116.8,114,94,96.5,102.1,104.5,105,105,105,105,105,105,Yes,NORDEX,N117/3600,,91,25.04.2018
NORDEX N117/3600 3600 116.8 !O!,3600,336,116.8,120,94,96.6,102.3,104.5,105,105,105,105,105,105,Yes,NORDEX,N117/3600,,91,25.04.2018
NORDEX N117/3600 3600 116.8 !O!,3600,336,116.8,141,94,97,102.7,104.5,105,105,105,105,105,105,Yes,NORDEX,N117/3600,,91,25.04.2018
NORDEX N131/3900 3900 131.0 !O!,3900,289.4,131,84,97,97.5,101.8,105.7,107.7,107.7,107.7,107.7,107.7,107.7,Yes,NORDEX,N131/3900,,84,15.10.2018
NORDEX N131/3900 3900 131.0 !O!,3900,289.4,131,114,97,97.5,102.7,106.5,107.7,107.7,107.7,107.7,107.7,107.7,Yes,NORDEX,N131/3900,,84,15.10.2018
NORDEX N131/3900 3900 131.0 !O!,3900,289.4,131,120,97,97.5,102.8,106.7,107.7,107.7,107.7,107.7,107.7,107.7,Yes,NORDEX,N131/3900,,84,15.10.2018
NORDEX N131/3900 3900 131.0 !O!,3900,289.4,131,134,97,97.5,103.1,107,107.7,107.7,107.7,107.7,107.7,107.7,Yes,NORDEX,N131/3900,,84,15.10.2018
NORDEX N131/3600 3600 131.0 !O!,3600,267.1,131,84,95.5,96,101.8,105.7,106.4,106.4,106.4,106.4,106.4,106.4,Yes,NORDEX,N131/3600,,106,25.04.2018
NORDEX N131/3600 3600 131.0 !O!,3600,267.1,131,106,95.5,96.3,102.5,106.1,106.4,106.4,106.4,106.4,106.4,106.4,Yes,NORDEX,N131/3600,,106,25.04.2018
NORDEX N131/3600 3600 131.0 !O!,3600,267.1,131,112,95.5,96.4,102.6,106.2,106.4,106.4,106.4,106.4,106.4,106.4,Yes,NORDEX,N131/3600,,106,25.04.2018
NORDEX N131/3600 3600 131.0 !O!,3600,267.1,131,114,95.5,96.4,102.7,106.2,106.4,106.4,106.4,106.4,106.4,106.4,Yes,NORDEX,N131/3600,,106,25.04.2018
NORDEX N131/3600 3600 131.0 !O!,3600,267.1,131,120,95.5,96.5,102.8,106.3,106.4,106.4,106.4,106.4,106.4,106.4,Yes,NORDEX,N131/3600,,106,25.04.2018
NORDEX N131/3600 3600 131.0 !O!,3600,267.1,131,134,95.5,96.7,103.1,106.4,106.4,106.4,106.4,106.4,106.4,106.4,Yes,NORDEX,N131/3600,,106,25.04.2018
NORDEX N131/3300 DE 3300 131.0 !-!,3 300,244.8,131,,,,,,,,,,,,No,NORDEX,N131/3300 DE,,134,31.10.2016
eno eno160-5.4 5400 160.0 !O!,5400,268.6,160,100,96.5,100.7,105.5,107.8,108.1,108.1,108.1,108.1,,,Yes,eno,eno160-5.4,,100,14.04.2021
eno eno160-5.4 5400 160.0 !O!,5400,268.6,160,120,97,101.2,105.9,107.9,108.1,108.1,108.1,108.1,,,Yes,eno,eno160-5.4,,100,14.04.2021
eno eno160-5.4 5400 160.0 !O!,5400,268.6,160,150,97.6,101.8,106.4,108.1,108.1,108.1,108.1,108.1,,,Yes,eno,eno160-5.4,,100,14.04.2021
eno eno160-5.4 5400 160.0 !O!,5400,268.6,160,165,97.8,102.1,106.6,108.1,108.1,108.1,108.1,108.1,,,Yes,eno,eno160-5.4,,100,14.04.2021
eno eno160-6.0 6000 160.0 !O!,6000,298.4,160,100,96.5,100.7,105.5,107.8,108.1,108.1,108.1,108.1,,,Yes,eno,eno160-6.0,,100,22.02.2021
eno eno160-6.0 6000 160.0 !O!,6000,298.4,160,120,97,101.2,105.9,107.9,108.1,108.1,108.1,108.1,,,Yes,eno,eno160-6.0,,100,22.02.2021
eno eno160-6.0 6000 160.0 !O!,6000,298.4,160,150,97.6,101.8,106.4,108.1,108.1,108.1,108.1,108.1,,,Yes,eno,eno160-6.0,,100,22.02.2021
eno eno160-6.0 6000 160.0 !O!,6000,298.4,160,165,97.8,102.1,106.6,108.1,108.1,108.1,108.1,108.1,,,Yes,eno,eno160-6.0,,100,22.02.2021
NORDEX N117/3000 3000 116.8 !O!,3000,280,116.8,91,94,97,101.5,103.5,104.5,105,105,105,,,Yes,NORDEX,N117/3000,,91,01.11.2016
NORDEX N117/3000 3000 116.8 !O!,3000,280,116.8,120,94.1,97.3,102.3,103.6,104.6,105,105,105,,,Yes,NORDEX,N117/3000,,91,01.11.2016
NORDEX N117/3000 3000 116.8 !O!,3000,280,116.8,140.6,94.2,97.4,102.7,103.7,104.7,105,105,105,,,Yes,NORDEX,N117/3000,,91,01.11.2016
NORDEX N131/3000 3000 131.0 !O!,3000,222.6,131,99,95,98,103,104,104.5,104.5,104.5,104.5,,,Yes,NORDEX,N131/3000,,99,21.06.2017
NORDEX N131/3000 3000 131.0 !O!,3000,222.6,131,114,95.1,98.4,103.1,104.1,104.5,104.5,104.5,104.5,,,Yes,NORDEX,N131/3000,,99,21.06.2017
NORDEX N131/3000 3000 131.0 !O!,3000,222.6,131,134,95.1,98.8,103.3,104.2,104.5,104.5,104.5,104.5,,,Yes,NORDEX,N131/3000,,99,21.06.2017
NORDEX N131/3000 3000 131.0 !O!,3000,222.6,131,144,95.2,99,103.3,104.2,104.5,104.5,104.5,104.5,,,Yes,NORDEX,N131/3000,,99,21.06.2017
eno eno114-4.8 4800 114.9 !O!,4 800,462.9,114.9,,,,,,,,,,,,Yes,eno,eno114-4.8,,92,22.02.2021
eno eno126-4.0 4000 126.0 !O!,4 000,320.8,126,,,,,,,,,,,,Yes,eno,eno126-4.0,,137,18.02.2021
eno eno126-4.8 4800 126.0 !O!,4 800,385,126,,,,,,,,,,,,Yes,eno,eno126-4.8,,137,22.02.2021
NORDEX N100/3300 3300 99.8 !O!,3300,421.9,99.8,75,93,95,98,102,103.2,104,104.5,104.5,104.5,,Yes,NORDEX,N100/3300,,100,01.11.2016
NORDEX N100/3300 3300 99.8 !O!,3300,421.9,99.8,100,93.1,95.2,98.7,102.8,103.4,104.2,104.5,104.5,104.5,,Yes,NORDEX,N100/3300,,100,01.11.2016
eno eno 114 3.5 3500 114.9 !O!,3500,337.5,114.9,92,92,97.1,100.3,102.2,103,103,103,103,,,Yes,eno,eno 114 3.5,,92,18.02.2021
eno eno 114 3.5 3500 114.9 !O!,3500,337.5,114.9,127.5,92.6,98,100.8,102.7,103,103,103,103,,,Yes,eno,eno 114 3.5,,92,18.02.2021
eno eno 114 3.5 3500 114.9 !O!,3500,337.5,114.9,142,93.2,98.7,101.4,103,103,103,103,103,,,Yes,eno,eno 114 3.5,,92,18.02.2021
eno eno 126 3.5 3500 126.0 !O!,3500,280.7,126,,,,,,,,,,,,Yes,eno,eno 126 3.5,,137,18.02.2021
eno eno114-4.0 4000 114.9 !O!,4 000,385.8,114.9,,,,,,,,,,,,Yes,eno,eno114-4.0,,92,18.02.2021
ENERCON E-115 EP3 E3 2990 115.7 !O!,2990,284.4,115.7,66.9,83.5,91.8,96.7,100.7,103.1,103.9,103.9,103.9,103.9,103.9,Yes,ENERCON,E-115 EP3 E3,,66.9,03.09.2020
ENERCON E-115 EP3 E3 2990 115.7 !O!,2990,284.4,115.7,86.7,84.7,92.6,97.5,101.6,103.4,103.9,103.9,103.9,103.9,103.9,Yes,ENERCON,E-115 EP3 E3,,66.9,03.09.2020
ENERCON E-115 EP3 E3 2990 115.7 !O!,2990,284.4,115.7,92,85,92.7,97.7,101.7,103.4,103.9,103.9,103.9,103.9,103.9,Yes,ENERCON,E-115 EP3 E3,,66.9,03.09.2020
ENERCON E-115 EP3 E3 2990 115.7 !O!,2990,284.4,115.7,122,86.2,93.6,98.5,102.4,103.6,103.9,103.9,103.9,103.9,103.9,Yes,ENERCON,E-115 EP3 E3,,66.9,03.09.2020
ENERCON E-115 EP3 E3 2990 115.7 !O!,2990,284.4,115.7,135,86.7,93.8,98.8,102.6,103.7,103.9,103.9,103.9,103.9,103.9,Yes,ENERCON,E-115 EP3 E3,,66.9,03.09.2020
ENERCON E-115 EP3 E3 2990 115.7 !O!,2990,284.4,115.7,149,87.1,94.1,99,102.8,103.7,103.9,103.9,103.9,103.9,103.9,Yes,ENERCON,E-115 EP3 E3,,66.9,03.09.2020
ENERCON E-138 EP3 E2 4200 138.3 !O!,4200,279.6,138.3,80.3,92.3,98.9,102.9,103.8,104.8,105.5,106,106,106,106,Yes,ENERCON,E-138 EP3 E2,,80.3,11.07.2022
ENERCON E-138 EP3 E2 4200 138.3 !O!,4200,279.6,138.3,95.5,92.9,99.4,103,103.9,104.9,105.7,106,106,106,106,Yes,ENERCON,E-138 EP3 E2,,80.3,11.07.2022
ENERCON E-138 EP3 E2 4200 138.3 !O!,4200,279.6,138.3,110.1,93.4,99.8,103.1,104.1,105,105.8,106,106,106,106,Yes,ENERCON,E-138 EP3 E2,,80.3,11.07.2022
ENERCON E-138 EP3 E2 4200 138.3 !O!,4200,279.6,138.3,130.1,93.9,100.3,103.2,104.2,105.2,105.9,106,106,106,106,Yes,ENERCON,E-138 EP3 E2,,80.3,11.07.2022
GE WIND ENERGY 6.0-164 GT135 6000 164.0 !O!,6000,284,164,166,94,99.6,104,106.7,107,107,107,107,107,107,Yes,GE WIND ENERGY,6.0-164 GT135,,167,22.12.2021
GE WIND ENERGY 6.0-164 GT135 6000 164.0 !O!,6000,284,164,167,94,99.6,104,106.7,107,107,107,107,107,107,Yes,GE WIND ENERGY,6.0-164 GT135,,167,22.12.2021
Siemens Gamesa SG 5.0-145 MkII 5000 145.0 !O!,5000,302.8,145,79.5,95.1,97.4,102.6,105.9,106.3,106.3,106.3,106.3,106.3,106.3,Yes,Siemens Gamesa,SG 5.0-145 MkII,,127.5,09.03.2022
Siemens Gamesa SG 5.0-145 MkII 5000 145.0 !O!,5000,302.8,145,90,95.1,97.8,102.9,106,106.3,106.3,106.3,106.3,106.3,106.3,Yes,Siemens Gamesa,SG 5.0-145 MkII,,127.5,09.03.2022
Siemens Gamesa SG 5.0-145 MkII 5000 145.0 !O!,5000,302.8,145,102.5,95.1,98.2,103.3,106.1,106.3,106.3,106.3,106.3,106.3,106.3,Yes,Siemens Gamesa,SG 5.0-145 MkII,,127.5,09.03.2022
Siemens Gamesa SG 5.0-145 MkII 5000 145.0 !O!,5000,302.8,145,127.5,95.1,98.9,103.9,106.3,106.3,106.3,106.3,106.3,106.3,106.3,Yes,Siemens Gamesa,SG 5.0-145 MkII,,127.5,09.03.2022
Siemens Gamesa SG 6.0-155 6600 155.0 !O!,6600,349.8,155,102.5,92.9,97.8,102.7,105,105,105,,,,,Yes,Siemens Gamesa,SG 6.0-155,,122.5,24.08.2021
Siemens Gamesa SG 6.0-155 6600 155.0 !O!,6600,349.8,155,122.5,93.2,98.3,103.2,105,105,105,,,,,Yes,Siemens Gamesa,SG 6.0-155,,122.5,24.08.2021
Siemens Gamesa SG 6.0-155 6600 155.0 !O!,6600,349.8,155,165,93.6,99.1,104,105,105,105,,,,,Yes,Siemens Gamesa,SG 6.0-155,,122.5,24.08.2021
ENRONWIND EW 1.5s 1500 70.5 !O!,1 500,384.3,70.5,,,,,,,,,,,,No,ENRONWIND,EW 1.5s,,85,10.03.2004
NORDEX N117/2400 2400 116.8 !O!,2400,224,116.8,91,97,100,104,104.5,105,105,105,105,105,105,Yes,NORDEX,N117/2400,,91,28.10.2016
NORDEX N117/2400 2400 116.8 !O!,2400,224,116.8,120,97.2,100.8,104.1,104.6,105,105,105,105,105,105,Yes,NORDEX,N117/2400,,91,28.10.2016
NORDEX N117/2400 2400 116.8 !O!,2400,224,116.8,141,97.3,101.2,104.1,104.7,105,105,105,105,105,105,Yes,NORDEX,N117/2400,,91,28.10.2016
Siemens Gamesa SG 5.0-132 MkII 5000 132.0 !O!,5 000,365.4,132,,,,,,,,,,,,Yes,Siemens Gamesa,SG 5.0-132 MkII,,84,24.08.2021
Siemens Gamesa SG 6.6-170 6600 170.0 !O!,6 600,290.8,170,,,,,,,,,,,,Yes,Siemens Gamesa,SG 6.6-170,,115,09.03.2022
